Dates;Returns 84-97;VW Market returns
31-Jan-84;0.0260;-0.0129
29-Feb-84;-0.1117;-0.0392
30-Mar-84;-0.0423;0.0135
30-Apr-84;0.0121;0.0027
31-May-84;-0.0179;-0.0524
29-Jun-84;0.1006;0.0236
31-Jul-84;0.0167;-0.0204
31-Aug-84;0.1781;0.1126
28-Sep-84;-0.0327;0.0004
31-Oct-84;0.0242;0.0001
30-Nov-84;-0.0660;-0.0106
31-Dec-84;-0.0172;0.0238
31-Jan-85;0.3316;0.0857
28-Feb-85;-0.0078;0.0170
29-Mar-85;-0.0369;-0.0019
30-Apr-85;-0.0943;-0.0022
31-May-85;0.0860;0.0559
28-Jun-85;0.1025;0.0172
31-Jul-85;-0.0646;-0.0005
30-Aug-85;-0.0366;-0.0048
30-Sep-85;-0.1325;-0.0397
31-Oct-85;0.0882;0.0446
29-Nov-85;0.0991;0.0693
31-Dec-85;0.1418;0.0431
31-Jan-86;0.0397;0.0099
28-Feb-86;0.1493;0.0728
31-Mar-86;0.0840;0.0539
30-Apr-86;-0.0868;-0.0081
30-May-86;0.0261;0.0508
30-Jun-86;-0.0664;0.0143
31-Jul-86;-0.0676;-0.0597
29-Aug-86;0.1047;0.0664
30-Sep-86;-0.0943;-0.0791
31-Oct-86;0.1510;0.0494
28-Nov-86;-0.0226;0.0152
31-Dec-86;-0.0407;-0.0265
30-Jan-87;0.3350;0.1284
27-Feb-87;0.0000;0.0476
31-Mar-87;0.0450;0.0232
30-Apr-87;-0.1224;-0.0171
29-May-87;-0.0239;0.0052
30-Jun-87;-0.1047;0.0438
31-Jul-87;0.0734;0.0441
31-Aug-87;0.0272;0.0372
30-Sep-87;-0.0711;-0.0207
30-Oct-87;-0.3378;-0.2249
30-Nov-87;-0.1744;-0.0729
31-Dec-87;0.0333;0.0704
29-Jan-88;0.0807;0.0453
29-Feb-88;0.0624;0.0516
31-Mar-88;-0.0355;-0.0171
29-Apr-88;0.0294;0.0110
31-May-88;-0.0429;0.0009
30-Jun-88;0.1594;0.0514
29-Jul-88;-0.0065;-0.0072
31-Aug-88;-0.0392;-0.0279
30-Sep-88;0.0841;0.0373
31-Oct-88;-0.0063;0.0177
30-Nov-88;-0.0573;-0.0164
30-Dec-88;0.0430;0.0208
31-Jan-89;0.1699;0.0659
28-Feb-89;-0.0447;-0.0164
31-Mar-89;-0.0388;0.0216
28-Apr-89;-0.0061;0.0485
31-May-89;0.1543;0.0397
30-Jun-89;-0.0034;-0.0050
31-Jul-89;0.1784;0.0777
31-Aug-89;0.0872;0.0223
29-Sep-89;0.0083;-0.0018
31-Oct-89;-0.1482;-0.0294
30-Nov-89;0.1033;0.0179
29-Dec-89;-0.0968;0.0183
31-Jan-90;-0.1154;-0.0701
28-Feb-90;0.0559;0.0150
30-Mar-90;0.1374;0.0242
30-Apr-90;-0.1042;-0.0282
31-May-90;0.2035;0.0889
29-Jun-90;-0.0079;-0.0043
31-Jul-90;-0.0588;-0.0094
31-Aug-90;-0.0815;-0.0917
28-Sep-90;-0.2686;-0.0539
31-Oct-90;0.0469;-0.0124
30-Nov-90;0.1194;0.0660
31-Dec-90;0.0957;0.0295
31-Jan-91;0.2025;0.0490
28-Feb-91;0.1684;0.0757
28-Mar-91;0.1369;0.0288
30-Apr-91;0.0193;0.0034
31-May-91;0.0758;0.0406
28-Jun-91;-0.0997;-0.0442
31-Jul-91;0.1988;0.0468
30-Aug-91;0.0252;0.0269
30-Sep-91;0.2029;-0.0111
31-Oct-91;0.0763;0.0177
29-Nov-91;-0.1269;-0.0373
31-Dec-91;0.2997;0.1070
31-Jan-92;-0.0561;-0.0017
28-Feb-92;-0.0664;0.0133
31-Mar-92;-0.0888;-0.0237
30-Apr-92;-0.1632;0.0139
29-May-92;0.0988;0.0065
30-Jun-92;-0.0784;-0.0192
31-Jul-92;-0.0061;0.0399
31-Aug-92;0.0435;-0.0208
30-Sep-92;-0.0714;0.0124
30-Oct-92;0.1154;0.0109
30-Nov-92;0.1667;0.0402
31-Dec-92;-0.0638;0.0175
29-Jan-93;0.0900;0.0123
26-Feb-93;-0.0194;0.0055
31-Mar-93;0.0802;0.0250
30-Apr-93;-0.0507;-0.0255
28-May-93;-0.0524;0.0294
30-Jun-93;0.0516;0.0051
30-Jul-93;0.0637;-0.0008
31-Aug-93;0.0101;0.0393
30-Sep-93;0.0826;0.0006
29-Oct-93;0.0466;0.0180
30-Nov-93;-0.0324;-0.0174
31-Dec-93;-0.0330;0.0195
31-Jan-94;0.0163;0.0313
28-Feb-94;-0.0481;-0.0241
31-Mar-94;-0.1903;-0.0457
29-Apr-94;-0.0140;0.0098
31-May-94;0.0718;0.0095
30-Jun-94;-0.0800;-0.0274
29-Jul-94;0.0145;0.0304
31-Aug-94;0.1500;0.0428
30-Sep-94;-0.0862;-0.0187
31-Oct-94;0.0137;0.0149
30-Nov-94;-0.0600;-0.0371
30-Dec-94;0.0435;0.0128
31-Jan-95;0.0208;0.0206
28-Feb-95;0.2245;0.0396
31-Mar-95;-0.0160;0.0270
28-Apr-95;0.0398;0.0249
31-May-95;-0.0109;0.0342
30-Jun-95;0.0007;0.0308
31-Jul-95;0.0889;0.0407
31-Aug-95;-0.0051;0.0093
29-Sep-95;0.0981;0.0364
31-Oct-95;-0.0423;-0.0112
30-Nov-95;0.0651;0.0430
29-Dec-95;-0.1157;0.0154
31-Jan-96;0.0524;0.0281
29-Feb-96;-0.0348;0.0161
29-Mar-96;0.0324;0.0112
30-Apr-96;-0.0553;0.0251
31-May-96;0.0904;0.0267
28-Jun-96;0.0648;-0.0077
31-Jul-96;0.0092;-0.0534
30-Aug-96;0.0228;0.0322
30-Sep-96;0.0459;0.0530
31-Oct-96;0.0258;0.0139
29-Nov-96;0.0460;0.0657
31-Dec-96;0.0811;-0.0114
31-Jan-97;0.0112;0.0530
28-Feb-97;0.0441;-0.0009
31-Mar-97;-0.1287;-0.0444
30-Apr-97;0.1382;0.0425
30-May-97;0.0607;0.0713
30-Jun-97;0.1564;0.0442
31-Jul-97;-0.0117;0.0763
29-Aug-97;-0.0592;-0.0365