Dates;Returns 87-96;VW mrkt returns
30-Jun-87;0.1531;0.0438
31-Jul-87;0.0313;0.0441
31-Aug-87;-0.0909;0.0372
30-Sep-87;0.0667;-0.0207
30-Oct-87;-0.2188;-0.2249
30-Nov-87;-0.0400;-0.0729
31-Dec-87;-0.1250;0.0704
29-Jan-88;-0.1429;0.0453
29-Feb-88;0.0556;0.0516
31-Mar-88;0.2632;-0.0171
29-Apr-88;-0.0208;0.0110
31-May-88;0.0638;0.0009
30-Jun-88;-0.2000;0.0514
29-Jul-88;-0.3000;-0.0072
31-Aug-88;-0.0714;-0.0279
30-Sep-88;0.2308;0.0373
31-Oct-88;-0.1563;0.0177
30-Nov-88;0.0370;-0.0164
30-Dec-88;-0.2143;0.0208
31-Jan-89;0.3636;0.0659
28-Feb-89;0.0000;-0.0164
31-Mar-89;0.2667;0.0216
28-Apr-89;-0.1053;0.0485
31-May-89;0.1765;0.0397
30-Jun-89;0.2000;-0.0050
31-Jul-89;0.0000;0.0777
31-Aug-89;-0.0217;0.0223
29-Sep-89;-0.0217;-0.0018
31-Oct-89;-0.0444;-0.0294
30-Nov-89;-0.0698;0.0179
29-Dec-89;-0.1000;0.0183
31-Jan-90;-0.0278;-0.0701
28-Feb-90;-0.1429;0.0150
30-Mar-90;0.1333;0.0242
30-Apr-90;0.0294;-0.0282
31-May-90;-0.0286;0.0889
29-Jun-90;0.1176;-0.0043
31-Jul-90;-0.0263;-0.0094
31-Aug-90;-0.0216;-0.0917
28-Sep-90;-0.0286;-0.0539
31-Oct-90;-0.0588;-0.0124
30-Nov-90;-0.0625;0.0660
31-Dec-90;-0.0333;0.0295
31-Jan-91;0.0345;0.0490
28-Feb-91;0.2000;0.0757
28-Mar-91;0.3611;0.0288
30-Apr-91;0.1429;0.0034
31-May-91;0.1786;0.0406
28-Jun-91;0.2121;-0.0442
31-Jul-91;0.2969;0.0468
30-Aug-91;0.0516;0.0269
30-Sep-91;0.3256;-0.0111
31-Oct-91;-0.0175;0.0177
29-Nov-91;0.1071;-0.0373
31-Dec-91;0.7742;0.1070
31-Jan-92;-0.0364;-0.0017
28-Feb-92;0.2311;0.0133
31-Mar-92;0.1667;-0.0237
30-Apr-92;-0.1872;0.0139
29-May-92;0.0545;0.0065
30-Jun-92;-0.2126;-0.0192
31-Jul-92;0.0292;0.0399
31-Aug-92;-0.2085;-0.0208
30-Sep-92;0.0455;0.0124
30-Oct-92;0.0870;0.0109
30-Nov-92;0.3280;0.0402
31-Dec-92;-0.0120;0.0175
29-Jan-93;0.2317;0.0123
26-Feb-93;-0.0347;0.0055
31-Mar-93;0.0513;0.0250
30-Apr-93;-0.0976;-0.0255
28-May-93;0.4730;0.0294
30-Jun-93;0.2294;0.0051
30-Jul-93;-0.0149;-0.0008
31-Aug-93;0.2992;0.0393
30-Sep-93;0.1760;0.0006
29-Oct-93;-0.0574;0.0180
30-Nov-93;-0.1825;-0.0174
31-Dec-93;-0.1748;0.0195
31-Jan-94;0.0000;0.0313
28-Feb-94;-0.0353;-0.0241
31-Mar-94;-0.1402;-0.0457
29-Apr-94;-0.0922;0.0098
31-May-94;-0.0469;0.0095
30-Jun-94;-0.1230;-0.0274
29-Jul-94;-0.0280;0.0304
31-Aug-94;0.3231;0.0428
30-Sep-94;-0.1691;-0.0187
31-Oct-94;0.1416;0.0149
30-Nov-94;-0.1163;-0.0371
30-Dec-94;-0.1404;0.0128
31-Jan-95;0.1837;0.0206
28-Feb-95;0.1983;0.0396
31-Mar-95;-0.0719;0.0270
28-Apr-95;-0.0310;0.0249
31-May-95;0.1200;0.0342
30-Jun-95;0.3143;0.0308
31-Jul-95;0.2011;0.0407
31-Aug-95;0.0452;0.0093
29-Sep-95;0.1135;0.0364
31-Oct-95;-0.2255;-0.0112
30-Nov-95;0.0000;0.0430
29-Dec-95;0.2532;0.0154
31-Jan-96;-0.0455;0.0281
29-Feb-96;0.0423;0.0161
29-Mar-96;0.3553;0.0112
30-Apr-96;0.0861;0.0251
31-May-96;0.0103;0.0267
28-Jun-96;0.0137;-0.0077
31-Jul-96;0.0135;-0.0534
30-Aug-96;-0.0008;0.0322
30-Sep-96;0.0134;0.0530